,Onduleur A: energie totale (MWh),Onduleur B: energie totale (MWh),Onduleur C: energie totale (MWh),Onduleur D-A: energie totale (MWh),Onduleur D-B: energie totale (MWh),Onduleur: energie totale (MWh)
2022-08-26 18:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 18:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 18:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 19:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 20:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 21:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 22:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-26 23:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 00:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 01:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 02:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 03:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 04:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 05:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:00:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:10:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:20:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:30:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:40:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
2022-08-27 06:50:00+00:00,0.23145,0.444607,0.613784,0.404073,0.399613,
